user_id,signup_date,days_since_signup,acquisition_channel,country,device_primary,used_save_for_later,product_views,sessions,ever_purchased
1,2024-01-01,851,organic,US,android,1,78,60,1
2,2024-01-01,851,organic,UK,ios,1,71,53,1
3,2024-01-01,851,email,US,web,0,79,57,1
4,2024-01-01,851,social,US,web,1,79,63,1
5,2024-01-01,851,organic,CA,web,1,76,61,1
6,2024-01-01,851,social,US,web,1,59,47,1
7,2024-01-01,851,paid_search,US,web,1,72,61,1
8,2024-01-01,851,paid_search,AU,web,1,64,58,1
9,2024-01-01,851,paid_search,UK,web,1,70,63,1
10,2024-01-01,851,social,AU,web,1,83,60,1
11,2024-01-01,851,organic,US,ios,0,49,43,0
12,2024-01-01,851,email,US,android,1,85,60,1
13,2024-01-01,851,referral,US,web,1,101,65,1
14,2024-01-01,851,organic,US,web,0,62,49,1
15,2024-01-01,851,social,US,ios,0,53,44,1
16,2024-01-01,851,paid_search,DE,ios,0,58,48,1
17,2024-01-01,851,paid_search,US,web,1,68,52,1
18,2024-01-01,851,organic,US,web,1,89,64,1
19,2024-01-01,851,paid_search,CA,android,1,70,59,1
20,2024-01-01,851,social,DE,android,1,70,64,1
21,2024-01-01,851,organic,DE,ios,1,61,45,1
22,2024-01-01,851,paid_search,UK,web,1,56,42,0
23,2024-01-01,851,social,US,web,0,76,59,1
24,2024-01-01,851,organic,US,android,1,66,50,1
25,2024-01-01,851,email,US,ios,1,58,51,1
26,2024-01-01,851,social,US,web,0,43,35,0
27,2024-01-01,851,social,DE,ios,0,66,46,0
28,2024-01-01,851,paid_search,UK,web,1,58,54,1
29,2024-01-01,851,organic,US,web,1,76,62,1
30,2024-01-01,851,email,US,android,1,77,66,1
31,2024-01-01,851,organic,US,ios,1,70,53,0
32,2024-01-01,851,referral,US,ios,1,58,53,1
33,2024-01-01,851,organic,US,android,1,79,63,0
34,2024-01-01,851,social,DE,ios,1,68,53,0
35,2024-01-01,851,paid_search,AU,web,0,60,55,1
36,2024-01-01,851,paid_search,US,ios,1,67,56,1
37,2024-01-01,851,email,CA,android,1,79,51,1
38,2024-01-01,851,email,US,ios,1,55,42,1
39,2024-01-01,851,organic,US,web,1,68,55,1
40,2024-01-01,851,email,US,android,1,65,51,0
41,2024-01-01,851,organic,UK,web,1,68,57,1
42,2024-01-01,851,paid_search,US,ios,0,78,63,1
43,2024-01-01,851,referral,UK,android,1,67,59,1
44,2024-01-01,851,organic,UK,ios,1,74,58,1
45,2024-01-01,851,social,US,ios,1,57,51,0
46,2024-01-01,851,paid_search,CA,web,1,71,59,1
47,2024-01-01,851,paid_search,US,web,1,78,61,1
48,2024-01-01,851,referral,US,ios,1,65,52,1
49,2024-01-01,851,social,US,ios,0,106,72,1
50,2024-01-01,851,referral,US,web,1,54,52,1
51,2024-01-01,851,organic,US,web,0,48,35,1
52,2024-01-01,851,organic,CA,ios,1,71,62,1
53,2024-01-01,851,paid_search,US,web,1,74,66,1
54,2024-01-01,851,referral,US,ios,1,56,42,0
55,2024-01-01,851,social,DE,ios,0,66,53,1
56,2024-01-01,851,paid_search,US,ios,1,62,47,0
57,2024-01-01,851,referral,US,web,1,69,57,1
58,2024-01-01,851,referral,AU,ios,1,51,47,1
59,2024-01-01,851,paid_search,CA,ios,1,78,65,1
60,2024-01-01,851,organic,US,android,0,65,56,0
61,2024-01-01,851,paid_search,US,web,1,48,43,1
62,2024-01-01,851,organic,US,web,1,52,41,1
63,2024-01-01,851,paid_search,UK,web,0,60,56,1
64,2024-01-01,851,email,US,web,1,71,59,1
65,2024-01-01,851,email,DE,ios,1,69,56,0
66,2024-01-01,851,social,UK,ios,1,50,44,0
67,2024-01-01,851,organic,UK,web,1,74,53,1
68,2024-01-01,851,organic,US,android,0,62,69,1
69,2024-01-01,851,organic,US,web,1,64,52,1
70,2024-01-01,851,organic,US,android,0,78,54,1
71,2024-01-01,851,organic,US,android,0,52,41,0
72,2024-01-01,851,social,UK,web,1,68,61,1
73,2024-01-01,851,organic,US,ios,1,66,50,1
74,2024-01-01,851,organic,CA,ios,1,58,46,1
75,2024-01-01,851,email,US,web,0,70,63,1
76,2024-01-01,851,social,other,android,0,59,60,1
77,2024-01-01,851,paid_search,US,web,1,68,48,1
78,2024-01-01,851,paid_search,US,web,1,78,61,1
79,2024-01-01,851,email,US,ios,1,51,51,1
80,2024-01-01,851,social,US,android,1,61,56,1
81,2024-01-01,851,organic,US,web,1,77,65,1
82,2024-01-01,851,paid_search,US,web,1,70,52,1
83,2024-01-01,851,paid_search,US,web,0,64,52,1
84,2024-01-01,851,email,US,ios,1,83,57,1
85,2024-01-01,851,paid_search,US,ios,1,68,57,1
86,2024-01-01,851,referral,US,ios,1,68,50,0
87,2024-01-01,851,referral,DE,web,0,78,59,1
88,2024-01-01,851,organic,US,ios,1,44,36,1
89,2024-01-01,851,email,AU,web,1,76,71,1
90,2024-01-01,851,paid_search,US,ios,1,70,54,1
91,2024-01-01,851,referral,US,web,1,69,56,1
92,2024-01-01,851,social,US,ios,1,64,51,0
93,2024-01-01,851,paid_search,UK,web,1,43,44,0
94,2024-01-01,851,organic,US,ios,0,88,63,1
95,2024-01-01,851,organic,AU,web,1,43,49,0
96,2024-01-01,851,social,US,web,1,51,48,1
97,2024-01-01,851,organic,US,android,1,80,57,1
98,2024-01-01,851,organic,US,ios,1,58,55,1
99,2024-01-01,851,paid_search,US,web,0,67,54,0
100,2024-01-01,851,organic,US,android,1,62,49,1
101,2024-01-01,851,paid_search,AU,ios,1,66,58,1
102,2024-01-01,851,paid_search,US,ios,1,65,48,1
103,2024-01-01,851,organic,US,web,1,49,46,1
104,2024-01-01,851,social,US,ios,1,78,62,0
105,2024-01-01,851,organic,US,web,1,83,57,0
106,2024-01-01,851,organic,AU,android,1,72,59,1
107,2024-01-01,851,organic,US,ios,0,82,59,0
108,2024-01-01,851,organic,UK,ios,1,70,54,1
109,2024-01-01,851,organic,US,android,1,88,61,1
110,2024-01-01,851,social,CA,web,1,43,39,1
111,2024-01-01,851,paid_search,US,web,1,82,67,1
112,2024-01-01,851,organic,US,web,1,71,54,1
113,2024-01-01,851,paid_search,DE,web,1,63,51,1
