user_id,primary_device,acquired_via,market,joined_on,platform,orders_placed,has_ordered
1,android,organic,US,2024-01-01,mobile,2,1
2,ios,organic,UK,2024-01-01,mobile,1,1
3,web,email,US,2024-01-01,desktop,2,1
4,web,social,US,2024-01-01,desktop,4,1
5,web,organic,CA,2024-01-01,desktop,3,1
6,web,social,US,2024-01-01,desktop,1,1
7,web,paid_search,US,2024-01-01,desktop,3,1
8,web,paid_search,AU,2024-01-01,desktop,3,1
9,web,paid_search,UK,2024-01-01,desktop,3,1
10,web,social,AU,2024-01-01,desktop,1,1
11,ios,organic,US,2024-01-01,mobile,0,0
12,android,email,US,2024-01-01,mobile,5,1
13,web,referral,US,2024-01-01,desktop,3,1
14,web,organic,US,2024-01-01,desktop,2,1
15,ios,social,US,2024-01-01,mobile,1,1
16,ios,paid_search,DE,2024-01-01,mobile,2,1
17,web,paid_search,US,2024-01-01,desktop,2,1
18,web,organic,US,2024-01-01,desktop,1,1
19,android,paid_search,CA,2024-01-01,mobile,1,1
20,android,social,DE,2024-01-01,mobile,2,1
21,ios,organic,DE,2024-01-01,mobile,1,1
22,web,paid_search,UK,2024-01-01,desktop,0,0
23,web,social,US,2024-01-01,desktop,3,1
24,android,organic,US,2024-01-01,mobile,1,1
25,ios,email,US,2024-01-01,mobile,1,1
26,web,social,US,2024-01-01,desktop,0,0
27,ios,social,DE,2024-01-01,mobile,0,0
28,web,paid_search,UK,2024-01-01,desktop,3,1
29,web,organic,US,2024-01-01,desktop,1,1
30,android,email,US,2024-01-01,mobile,1,1
31,ios,organic,US,2024-01-01,mobile,0,0
32,ios,referral,US,2024-01-01,mobile,2,1
33,android,organic,US,2024-01-01,mobile,0,0
34,ios,social,DE,2024-01-01,mobile,0,0
35,web,paid_search,AU,2024-01-01,desktop,1,1
36,ios,paid_search,US,2024-01-01,mobile,2,1
37,android,email,CA,2024-01-01,mobile,2,1
38,ios,email,US,2024-01-01,mobile,4,1
39,web,organic,US,2024-01-01,desktop,2,1
40,android,email,US,2024-01-01,mobile,0,0
41,web,organic,UK,2024-01-01,desktop,2,1
42,ios,paid_search,US,2024-01-01,mobile,4,1
43,android,referral,UK,2024-01-01,mobile,1,1
44,ios,organic,UK,2024-01-01,mobile,3,1
45,ios,social,US,2024-01-01,mobile,0,0
46,web,paid_search,CA,2024-01-01,desktop,5,1
47,web,paid_search,US,2024-01-01,desktop,1,1
48,ios,referral,US,2024-01-01,mobile,2,1
49,ios,social,US,2024-01-01,mobile,1,1
50,web,referral,US,2024-01-01,desktop,2,1
51,web,organic,US,2024-01-01,desktop,1,1
52,ios,organic,CA,2024-01-01,mobile,2,1
53,web,paid_search,US,2024-01-01,desktop,2,1
54,ios,referral,US,2024-01-01,mobile,0,0
55,ios,social,DE,2024-01-01,mobile,2,1
56,ios,paid_search,US,2024-01-01,mobile,0,0
57,web,referral,US,2024-01-01,desktop,1,1
58,ios,referral,AU,2024-01-01,mobile,1,1
59,ios,paid_search,CA,2024-01-01,mobile,1,1
60,android,organic,US,2024-01-01,mobile,0,0
61,web,paid_search,US,2024-01-01,desktop,1,1
62,web,organic,US,2024-01-01,desktop,1,1
63,web,paid_search,UK,2024-01-01,desktop,3,1
64,web,email,US,2024-01-01,desktop,1,1
65,ios,email,DE,2024-01-01,mobile,0,0
66,ios,social,UK,2024-01-01,mobile,0,0
67,web,organic,UK,2024-01-01,desktop,2,1
68,android,organic,US,2024-01-01,mobile,1,1
69,web,organic,US,2024-01-01,desktop,3,1
70,android,organic,US,2024-01-01,mobile,3,1
71,android,organic,US,2024-01-01,mobile,0,0
72,web,social,UK,2024-01-01,desktop,5,1
73,ios,organic,US,2024-01-01,mobile,2,1
74,ios,organic,CA,2024-01-01,mobile,2,1
75,web,email,US,2024-01-01,desktop,2,1
76,android,social,other,2024-01-01,mobile,2,1
77,web,paid_search,US,2024-01-01,desktop,1,1
78,web,paid_search,US,2024-01-01,desktop,5,1
79,ios,email,US,2024-01-01,mobile,2,1
80,android,social,US,2024-01-01,mobile,2,1
81,web,organic,US,2024-01-01,desktop,1,1
82,web,paid_search,US,2024-01-01,desktop,2,1
83,web,paid_search,US,2024-01-01,desktop,2,1
84,ios,email,US,2024-01-01,mobile,1,1
85,ios,paid_search,US,2024-01-01,mobile,1,1
86,ios,referral,US,2024-01-01,mobile,0,0
87,web,referral,DE,2024-01-01,desktop,3,1
88,ios,organic,US,2024-01-01,mobile,1,1
89,web,email,AU,2024-01-01,desktop,1,1
90,ios,paid_search,US,2024-01-01,mobile,3,1
91,web,referral,US,2024-01-01,desktop,1,1
92,ios,social,US,2024-01-01,mobile,0,0
93,web,paid_search,UK,2024-01-01,desktop,0,0
94,ios,organic,US,2024-01-01,mobile,1,1
95,web,organic,AU,2024-01-01,desktop,0,0
96,web,social,US,2024-01-01,desktop,2,1
97,android,organic,US,2024-01-01,mobile,1,1
98,ios,organic,US,2024-01-01,mobile,2,1
99,web,paid_search,US,2024-01-01,desktop,0,0
100,android,organic,US,2024-01-01,mobile,3,1
101,ios,paid_search,AU,2024-01-01,mobile,1,1
102,ios,paid_search,US,2024-01-01,mobile,1,1
103,web,organic,US,2024-01-01,desktop,1,1
104,ios,social,US,2024-01-01,mobile,0,0
105,web,organic,US,2024-01-01,desktop,0,0
106,android,organic,AU,2024-01-01,mobile,2,1
107,ios,organic,US,2024-01-01,mobile,0,0
108,ios,organic,UK,2024-01-01,mobile,1,1
109,android,organic,US,2024-01-01,mobile,1,1
110,web,social,CA,2024-01-01,desktop,2,1
111,web,paid_search,US,2024-01-01,desktop,2,1
112,web,organic,US,2024-01-01,desktop,1,1
113,web,paid_search,DE,2024-01-01,desktop,3,1
114,web,referral,US,2024-01-02,desktop,3,1
115,ios,paid_search,UK,2024-01-02,mobile,1,1
116,web,email,US,2024-01-02,desktop,0,0
117,android,organic,US,2024-01-02,mobile,1,1
118,android,social,US,2024-01-02,mobile,1,1
119,ios,paid_search,US,2024-01-02,mobile,4,1
120,web,paid_search,US,2024-01-02,desktop,1,1
121,web,paid_search,US,2024-01-02,desktop,1,1
122,ios,paid_search,US,2024-01-02,mobile,1,1
123,ios,email,US,2024-01-02,mobile,1,1
124,android,paid_search,US,2024-01-02,mobile,4,1
125,web,social,CA,2024-01-02,desktop,4,1
126,ios,organic,AU,2024-01-02,mobile,1,1
127,web,paid_search,US,2024-01-02,desktop,3,1
128,web,paid_search,CA,2024-01-02,desktop,2,1
129,android,social,US,2024-01-02,mobile,0,0
130,android,email,US,2024-01-02,mobile,1,1
131,ios,social,US,2024-01-02,mobile,2,1
132,web,social,US,2024-01-02,desktop,2,1
133,web,paid_search,US,2024-01-02,desktop,2,1
134,ios,organic,DE,2024-01-02,mobile,0,0
135,web,social,US,2024-01-02,desktop,2,1
136,ios,paid_search,US,2024-01-02,mobile,0,0
137,ios,referral,CA,2024-01-02,mobile,1,1
